lineItem/UsageAccountId,lineItem/ProductCode,lineItem/UsageType,product/region,lineItem/UsageStartDate,lineItem/UnblendedCost,lineItem/CurrencyCode
111122223333,AmazonEC2,BoxUsage:t3.medium,us-east-1,2026-06-01T00:00:00Z,39.20,USD
111122223333,AmazonS3,TimedStorage-ByteHrs,us-east-1,2026-06-01T00:00:00Z,7.20,USD
111122223333,AmazonRDS,InstanceUsage:db.t3.small,us-west-2,2026-06-01T00:00:00Z,18.70,USD
111122223333,AmazonEC2,BoxUsage:t3.medium,us-east-1,2026-06-02T00:00:00Z,39.95,USD
111122223333,AmazonS3,TimedStorage-ByteHrs,us-east-1,2026-06-02T00:00:00Z,7.65,USD
111122223333,AmazonRDS,InstanceUsage:db.t3.small,us-west-2,2026-06-02T00:00:00Z,19.13,USD
111122223333,AmazonEC2,BoxUsage:t3.medium,us-east-1,2026-06-03T00:00:00Z,40.70,USD
111122223333,AmazonS3,TimedStorage-ByteHrs,us-east-1,2026-06-03T00:00:00Z,8.10,USD
111122223333,AmazonRDS,InstanceUsage:db.t3.small,us-west-2,2026-06-03T00:00:00Z,19.56,USD
111122223333,AmazonEC2,BoxUsage:t3.medium,us-east-1,2026-06-04T00:00:00Z,41.45,USD
111122223333,AmazonS3,TimedStorage-ByteHrs,us-east-1,2026-06-04T00:00:00Z,8.55,USD
111122223333,AmazonRDS,InstanceUsage:db.t3.small,us-west-2,2026-06-04T00:00:00Z,19.99,USD
111122223333,AmazonEC2,BoxUsage:t3.medium,us-east-1,2026-06-05T00:00:00Z,42.20,USD
111122223333,AmazonS3,TimedStorage-ByteHrs,us-east-1,2026-06-05T00:00:00Z,9.00,USD
111122223333,AmazonRDS,InstanceUsage:db.t3.small,us-west-2,2026-06-05T00:00:00Z,20.42,USD
111122223333,AmazonEC2,BoxUsage:t3.medium,us-east-1,2026-06-06T00:00:00Z,36.78,USD
111122223333,AmazonS3,TimedStorage-ByteHrs,us-east-1,2026-06-06T00:00:00Z,6.62,USD
111122223333,AmazonRDS,InstanceUsage:db.t3.small,us-west-2,2026-06-06T00:00:00Z,16.88,USD
111122223333,AmazonEC2,BoxUsage:t3.medium,us-east-1,2026-06-07T00:00:00Z,37.49,USD
111122223333,AmazonS3,TimedStorage-ByteHrs,us-east-1,2026-06-07T00:00:00Z,7.07,USD
111122223333,AmazonRDS,InstanceUsage:db.t3.small,us-west-2,2026-06-07T00:00:00Z,17.31,USD
111122223333,AmazonEC2,BoxUsage:t3.medium,us-east-1,2026-06-08T00:00:00Z,42.45,USD
111122223333,AmazonS3,TimedStorage-ByteHrs,us-east-1,2026-06-08T00:00:00Z,8.35,USD
111122223333,AmazonRDS,InstanceUsage:db.t3.small,us-west-2,2026-06-08T00:00:00Z,19.71,USD
111122223333,AmazonEC2,BoxUsage:t3.medium,us-east-1,2026-06-09T00:00:00Z,43.20,USD
111122223333,AmazonS3,TimedStorage-ByteHrs,us-east-1,2026-06-09T00:00:00Z,8.80,USD
111122223333,AmazonRDS,InstanceUsage:db.t3.small,us-west-2,2026-06-09T00:00:00Z,20.14,USD
111122223333,AmazonEC2,BoxUsage:t3.medium,us-east-1,2026-06-10T00:00:00Z,43.95,USD
111122223333,AmazonS3,TimedStorage-ByteHrs,us-east-1,2026-06-10T00:00:00Z,9.25,USD
111122223333,AmazonRDS,InstanceUsage:db.t3.small,us-west-2,2026-06-10T00:00:00Z,20.57,USD
111122223333,AmazonEC2,BoxUsage:t3.medium,us-east-1,2026-06-11T00:00:00Z,42.70,USD
111122223333,AmazonS3,TimedStorage-ByteHrs,us-east-1,2026-06-11T00:00:00Z,7.70,USD
111122223333,AmazonRDS,InstanceUsage:db.t3.small,us-west-2,2026-06-11T00:00:00Z,19.00,USD
111122223333,AmazonEC2,BoxUsage:t3.medium,us-east-1,2026-06-12T00:00:00Z,43.45,USD
111122223333,AmazonS3,TimedStorage-ByteHrs,us-east-1,2026-06-12T00:00:00Z,8.15,USD
111122223333,AmazonRDS,InstanceUsage:db.t3.small,us-west-2,2026-06-12T00:00:00Z,19.43,USD
111122223333,AmazonEC2,BoxUsage:t3.medium,us-east-1,2026-06-13T00:00:00Z,39.78,USD
111122223333,AmazonS3,TimedStorage-ByteHrs,us-east-1,2026-06-13T00:00:00Z,7.74,USD
111122223333,AmazonRDS,InstanceUsage:db.t3.small,us-west-2,2026-06-13T00:00:00Z,17.87,USD
111122223333,AmazonEC2,BoxUsage:t3.medium,us-east-1,2026-06-14T00:00:00Z,40.49,USD
111122223333,AmazonS3,TimedStorage-ByteHrs,us-east-1,2026-06-14T00:00:00Z,8.19,USD
111122223333,AmazonRDS,InstanceUsage:db.t3.small,us-west-2,2026-06-14T00:00:00Z,18.30,USD
